"id","municipio","distrito","seccion","tramo","desc_tramo","viviendas","total_poblacion","tercer_grado","total_entre_35_50","mujeres_mas_65","total_china","estudiantes_de_grado"
"1",2807901001,28079,1,1,9,"Entre  46.300€ y 58.390€",780,1205,505,284,163,16,10
"2",2807901002,28079,1,2,4,"Entre 25.295€ y 27.760€",525,855,395,249,82,44,0
"3",2807901003,28079,1,3,5,"Entre 27.760€ y 31.040€",1000,1795,1115,493,164,92,175
"4",2807901004,28079,1,4,8,"Entre 39.755€ y 46.300€",650,1070,465,311,147,11,15
"5",2807901006,28079,1,6,7,"Entre 34.950€ y 39.755€",1080,1950,720,466,180,16,55
"6",2807901007,28079,1,7,6,"Entre 31.040€ y 34.950€",530,1120,455,232,106,4,25
"7",2807901008,28079,1,8,6,"Entre 31.040€ y 34.950€",660,885,505,230,89,0,0
"8",2807901009,28079,1,9,6,"Entre 31.040€ y 34.950€",750,1235,500,349,161,1,40
"9",2807901011,28079,1,11,6,"Entre 31.040€ y 34.950€",800,1465,590,271,122,3,10
"10",2807901012,28079,1,12,4,"Entre 25.295€ y 27.760€",440,1025,415,233,89,11,0
"11",2807901013,28079,1,13,2,"Entre 21.215€ y 23.140€",805,1295,245,325,107,22,110
"12",2807901014,28079,1,14,5,"Entre 27.760€ y 31.040€",970,1855,745,397,133,6,90
"13",2807901015,28079,1,15,5,"Entre 27.760€ y 31.040€",1055,1815,815,486,180,11,25
"14",2807901016,28079,1,16,6,"Entre 31.040€ y 34.950€",960,1115,625,305,121,2,10
"15",2807901018,28079,1,18,6,"Entre 31.040€ y 34.950€",1095,1890,795,467,239,2,40
"16",2807901019,28079,1,19,6,"Entre 31.040€ y 34.950€",835,1330,555,369,150,9,30
"17",2807901020,28079,1,20,5,"Entre 27.760€ y 31.040€",825,1055,450,296,151,3,50
"18",2807901021,28079,1,21,5,"Entre 27.760€ y 31.040€",980,1735,680,500,202,15,15
"19",2807901022,28079,1,22,4,"Entre 25.295€ y 27.760€",920,1445,475,339,120,5,45
"20",2807901023,28079,1,23,2,"Entre 21.215€ y 23.140€",1135,1375,430,438,131,19,0
"21",2807901024,28079,1,24,2,"Entre 21.215€ y 23.140€",1060,1895,940,402,119,6,65
"22",2807901025,28079,1,25,6,"Entre 31.040€ y 34.950€",435,680,220,249,82,4,0
"23",2807901026,28079,1,26,5,"Entre 27.760€ y 31.040€",790,870,295,423,132,9,0
"24",2807901027,28079,1,27,5,"Entre 27.760€ y 31.040€",785,795,375,359,82,13,45
"25",2807901028,28079,1,28,3,"Entre 23.140€ y 25.295€",645,845,370,410,102,20,15
"26",2807901029,28079,1,29,3,"Entre 23.140€ y 25.295€",695,1115,355,454,100,37,0
"27",2807901030,28079,1,30,1,"Menos de 21.215€",455,420,195,327,101,11,0
"28",2807901031,28079,1,31,1,"Menos de 21.215€",490,760,140,338,114,28,25
"29",2807901032,28079,1,32,4,"Entre 25.295€ y 27.760€",1275,1955,880,551,157,12,50
"30",2807901033,28079,1,33,1,"Menos de 21.215€",940,1575,465,406,98,19,115
"31",2807901034,28079,1,34,1,"Menos de 21.215€",985,1825,560,557,92,7,0
"32",2807901035,28079,1,35,2,"Entre 21.215€ y 23.140€",940,1695,590,446,132,21,55
"33",2807901036,28079,1,36,1,"Menos de 21.215€",780,1145,315,365,96,19,30
"34",2807901037,28079,1,37,2,"Entre 21.215€ y 23.140€",645,1040,270,380,113,9,10
"35",2807901038,28079,1,38,1,"Menos de 21.215€",830,1050,275,376,92,1,0
"36",2807901039,28079,1,39,2,"Entre 21.215€ y 23.140€",425,760,225,338,95,1,0
"37",2807901040,28079,1,40,3,"Entre 23.140€ y 25.295€",410,820,315,254,70,5,0
"38",2807901041,28079,1,41,3,"Entre 23.140€ y 25.295€",420,740,285,315,89,7,15
"39",2807901042,28079,1,42,3,"Entre 23.140€ y 25.295€",435,640,215,336,102,12,0
"40",2807901043,28079,1,43,1,"Menos de 21.215€",915,1575,410,398,82,4,30
"41",2807901045,28079,1,45,3,"Entre 23.140€ y 25.295€",935,1355,470,432,91,4,0
"42",2807901046,28079,1,46,3,"Entre 23.140€ y 25.295€",870,1165,470,485,150,13,10
"43",2807901047,28079,1,47,1,"Menos de 21.215€",1095,1340,545,747,138,22,60
"44",2807901048,28079,1,48,1,"Menos de 21.215€",825,1425,535,448,90,3,0
"45",2807901049,28079,1,49,1,"Menos de 21.215€",905,1550,365,426,101,10,15
"46",2807901050,28079,1,50,1,"Menos de 21.215€",1070,1715,615,428,110,26,0
"47",2807901051,28079,1,51,1,"Menos de 21.215€",1110,1495,450,440,94,7,10
"48",2807901053,28079,1,53,3,"Entre 23.140€ y 25.295€",790,1085,405,397,136,5,30
"49",2807901054,28079,1,54,1,"Menos de 21.215€",730,1100,245,286,95,2,50
"50",2807901055,28079,1,55,4,"Entre 25.295€ y 27.760€",795,1215,235,296,141,3,25
"51",2807901056,28079,1,56,5,"Entre 27.760€ y 31.040€",680,945,340,252,119,12,80
"52",2807901057,28079,1,57,6,"Entre 31.040€ y 34.950€",1010,1365,595,327,266,18,0
"53",2807901058,28079,1,58,6,"Entre 31.040€ y 34.950€",485,645,155,160,84,3,0
"54",2807901059,28079,1,59,4,"Entre 25.295€ y 27.760€",1015,1470,700,399,136,14,50
"55",2807901061,28079,1,61,6,"Entre 31.040€ y 34.950€",485,620,205,220,92,6,0
"56",2807901062,28079,1,62,5,"Entre 27.760€ y 31.040€",755,850,405,272,116,0,15
"57",2807901063,28079,1,63,5,"Entre 27.760€ y 31.040€",340,450,230,212,78,7,0
"58",2807901064,28079,1,64,7,"Entre 34.950€ y 39.755€",425,370,140,195,74,0,0
"59",2807901065,28079,1,65,6,"Entre 31.040€ y 34.950€",490,440,305,254,75,8,0
"60",2807901066,28079,1,66,3,"Entre 23.140€ y 25.295€",1100,1960,705,493,140,28,15
"61",2807901067,28079,1,67,6,"Entre 31.040€ y 34.950€",865,1265,695,311,97,24,55
"62",2807901068,28079,1,68,6,"Entre 31.040€ y 34.950€",480,860,280,210,91,1,0
"63",2807901069,28079,1,69,3,"Entre 23.140€ y 25.295€",630,755,495,280,60,27,0
"64",2807901071,28079,1,71,8,"Entre 39.755€ y 46.300€",485,685,345,171,92,4,0
"65",2807901072,28079,1,72,8,"Entre 39.755€ y 46.300€",895,1410,725,439,138,4,0
"66",2807901073,28079,1,73,9,"Entre  46.300€ y 58.390€",1015,1185,605,450,167,1,25
"67",2807901074,28079,1,74,5,"Entre 27.760€ y 31.040€",1280,1955,1005,473,119,36,20
"68",2807901075,28079,1,75,4,"Entre 25.295€ y 27.760€",785,1200,425,409,103,28,20
"69",2807901076,28079,1,76,5,"Entre 27.760€ y 31.040€",1025,1260,520,408,132,50,15
"70",2807901077,28079,1,77,7,"Entre 34.950€ y 39.755€",700,1345,625,349,123,13,0
"71",2807901079,28079,1,79,6,"Entre 31.040€ y 34.950€",840,1355,655,422,134,6,75
"72",2807901081,28079,1,81,4,"Entre 25.295€ y 27.760€",790,1835,785,466,139,36,0
"73",2807901082,28079,1,82,5,"Entre 27.760€ y 31.040€",955,1575,860,480,148,4,145
"74",2807901084,28079,1,84,9,"Entre  46.300€ y 58.390€",610,985,510,357,167,1,0
"75",2807901087,28079,1,87,9,"Entre  46.300€ y 58.390€",545,1155,570,320,116,1,30
"76",2807901088,28079,1,88,8,"Entre 39.755€ y 46.300€",740,1290,530,272,120,0,0
"77",2807901089,28079,1,89,7,"Entre 34.950€ y 39.755€",795,1420,555,365,221,10,10
"78",2807901090,28079,1,90,6,"Entre 31.040€ y 34.950€",490,890,460,218,115,3,0
"79",2807901091,28079,1,91,5,"Entre 27.760€ y 31.040€",655,920,375,322,105,11,10
"80",2807901092,28079,1,92,5,"Entre 27.760€ y 31.040€",485,640,110,201,79,8,45
"81",2807901093,28079,1,93,4,"Entre 25.295€ y 27.760€",1290,2445,910,412,140,6,40
"82",2807901094,28079,1,94,4,"Entre 25.295€ y 27.760€",890,1575,420,401,123,22,0
"83",2807901095,28079,1,95,3,"Entre 23.140€ y 25.295€",970,1390,585,434,102,28,0
"84",2807901096,28079,1,96,2,"Entre 21.215€ y 23.140€",600,1035,280,317,99,17,15
"85",2807901097,28079,1,97,3,"Entre 23.140€ y 25.295€",825,1395,735,421,138,6,15
"86",2807901098,28079,1,98,2,"Entre 21.215€ y 23.140€",775,1640,490,373,89,31,0
"87",2807901099,28079,1,99,4,"Entre 25.295€ y 27.760€",970,1290,475,354,107,1,10
"88",2807901100,28079,1,100,4,"Entre 25.295€ y 27.760€",970,1435,590,355,98,3,0
"89",2807901101,28079,1,101,3,"Entre 23.140€ y 25.295€",970,1635,545,367,111,40,25
"90",2807901102,28079,1,102,4,"Entre 25.295€ y 27.760€",805,1015,395,303,132,17,60
"91",2807901103,28079,1,103,8,"Entre 39.755€ y 46.300€",725,945,465,307,222,6,0
"92",2807901104,28079,1,104,4,"Entre 25.295€ y 27.760€",630,1060,530,329,128,12,50
"93",2807901105,28079,1,105,5,"Entre 27.760€ y 31.040€",920,1490,750,353,134,5,15
"94",2807901106,28079,1,106,8,"Entre 39.755€ y 46.300€",630,1260,670,237,167,1,55
"95",2807901107,28079,1,107,9,"Entre  46.300€ y 58.390€",590,1260,675,221,179,4,10
"96",2807901108,28079,1,108,7,"Entre 34.950€ y 39.755€",750,1620,520,374,139,8,15
"97",2807901109,28079,1,109,4,"Entre 25.295€ y 27.760€",430,900,370,231,103,24,0
"98",2807901110,28079,1,110,4,"Entre 25.295€ y 27.760€",470,1140,445,269,91,16,0
"99",2807901111,28079,1,111,5,"Entre 27.760€ y 31.040€",590,1090,640,269,112,38,20
"100",2807901112,28079,1,112,5,"Entre 27.760€ y 31.040€",795,895,385,337,95,35,0
"101",2807901113,28079,1,113,4,"Entre 25.295€ y 27.760€",655,1200,475,311,101,70,30
"102",2807901114,28079,1,114,4,"Entre 25.295€ y 27.760€",1030,1435,680,476,133,25,0
"103",2807901115,28079,1,115,5,"Entre 27.760€ y 31.040€",880,1755,715,310,95,23,0
"104",2807901116,28079,1,116,3,"Entre 23.140€ y 25.295€",1045,1065,580,388,120,38,0
"105",2807901117,28079,1,117,5,"Entre 27.760€ y 31.040€",1265,1660,830,463,175,17,25
"106",2807901118,28079,1,118,3,"Entre 23.140€ y 25.295€",495,595,190,257,76,25,0
"107",2807901119,28079,1,119,2,"Entre 21.215€ y 23.140€",830,700,355,344,80,12,0
"108",2807901120,28079,1,120,5,"Entre 27.760€ y 31.040€",630,855,340,197,70,13,10
"109",2807901121,28079,1,121,5,"Entre 27.760€ y 31.040€",1090,1630,755,431,188,1,35
"110",2807901123,28079,1,123,5,"Entre 27.760€ y 31.040€",610,955,435,214,73,3,0
"111",2807901124,28079,1,124,7,"Entre 34.950€ y 39.755€",560,965,460,177,87,2,0
"112",2807902001,28079,2,1,6,"Entre 31.040€ y 34.950€",630,1000,385,317,125,5,0
"113",2807902002,28079,2,2,5,"Entre 27.760€ y 31.040€",865,1760,835,395,213,6,35
"114",2807902003,28079,2,3,8,"Entre 39.755€ y 46.300€",490,1120,555,255,196,11,20
"115",2807902004,28079,2,4,8,"Entre 39.755€ y 46.300€",455,1015,480,227,155,3,0
"116",2807902005,28079,2,5,6,"Entre 31.040€ y 34.950€",355,720,270,181,129,28,25
"117",2807902006,28079,2,6,8,"Entre 39.755€ y 46.300€",1080,2350,740,486,239,5,75
"118",2807902007,28079,2,7,8,"Entre 39.755€ y 46.300€",350,940,330,178,138,13,30
"119",2807902008,28079,2,8,6,"Entre 31.040€ y 34.950€",745,1460,560,458,206,7,35
"120",2807902009,28079,2,9,9,"Entre  46.300€ y 58.390€",1000,2435,990,464,165,6,50
"121",2807902010,28079,2,10,7,"Entre 34.950€ y 39.755€",505,1050,240,226,184,17,20
"122",2807902011,28079,2,11,8,"Entre 39.755€ y 46.300€",950,2125,715,331,118,11,75
"123",2807902013,28079,2,13,8,"Entre 39.755€ y 46.300€",585,1390,435,247,221,6,20
"124",2807902014,28079,2,14,7,"Entre 34.950€ y 39.755€",565,1230,440,283,140,6,10
"125",2807902015,28079,2,15,7,"Entre 34.950€ y 39.755€",695,1370,475,420,184,13,20
"126",2807902016,28079,2,16,9,"Entre  46.300€ y 58.390€",765,1705,765,377,276,19,30
"127",2807902017,28079,2,17,9,"Entre  46.300€ y 58.390€",590,1400,530,321,195,15,60
"128",2807902018,28079,2,18,9,"Entre  46.300€ y 58.390€",840,1445,725,437,385,24,20
"129",2807902019,28079,2,19,9,"Entre  46.300€ y 58.390€",1165,2765,1330,316,143,10,65
"130",2807902020,28079,2,20,8,"Entre 39.755€ y 46.300€",1320,2865,1245,236,142,23,70
"131",2807902021,28079,2,21,6,"Entre 31.040€ y 34.950€",610,1185,415,306,155,9,20
"132",2807902022,28079,2,22,4,"Entre 25.295€ y 27.760€",470,870,280,283,126,1,0
"133",2807902023,28079,2,23,6,"Entre 31.040€ y 34.950€",630,1260,530,281,163,14,20
"134",2807902024,28079,2,24,6,"Entre 31.040€ y 34.950€",755,1520,430,391,262,22,20
"135",2807902025,28079,2,25,6,"Entre 31.040€ y 34.950€",340,780,180,196,82,17,0
"136",2807902026,28079,2,26,6,"Entre 31.040€ y 34.950€",810,1395,670,299,220,12,50
"137",2807902027,28079,2,27,7,"Entre 34.950€ y 39.755€",430,985,255,183,154,4,20
"138",2807902028,28079,2,28,1,"Menos de 21.215€",745,855,260,273,96,2,0
"139",2807902029,28079,2,29,2,"Entre 21.215€ y 23.140€",500,615,170,209,86,10,0
"140",2807902030,28079,2,30,7,"Entre 34.950€ y 39.755€",715,1175,410,264,213,1,10
"141",2807902031,28079,2,31,9,"Entre  46.300€ y 58.390€",475,1090,355,191,142,4,30
"142",2807902032,28079,2,32,7,"Entre 34.950€ y 39.755€",335,890,305,130,115,7,0
"143",2807902033,28079,2,33,6,"Entre 31.040€ y 34.950€",595,1125,385,302,168,5,25
"144",2807902034,28079,2,34,7,"Entre 34.950€ y 39.755€",490,770,200,167,133,14,0
"145",2807902035,28079,2,35,5,"Entre 27.760€ y 31.040€",610,1410,565,223,183,20,10
"146",2807902036,28079,2,36,6,"Entre 31.040€ y 34.950€",475,795,205,212,156,7,50
"147",2807902037,28079,2,37,7,"Entre 34.950€ y 39.755€",635,1190,375,271,235,2,15
"148",2807902038,28079,2,38,6,"Entre 31.040€ y 34.950€",580,1155,335,228,243,3,10
"149",2807902039,28079,2,39,6,"Entre 31.040€ y 34.950€",415,620,340,190,126,0,0
"150",2807902040,28079,2,40,6,"Entre 31.040€ y 34.950€",990,1680,455,382,292,10,10
"151",2807902041,28079,2,41,4,"Entre 25.295€ y 27.760€",1245,2155,635,546,202,13,0
"152",2807902042,28079,2,42,6,"Entre 31.040€ y 34.950€",905,1875,520,400,277,27,20
"153",2807902043,28079,2,43,5,"Entre 27.760€ y 31.040€",540,920,290,235,167,0,25
"154",2807902044,28079,2,44,5,"Entre 27.760€ y 31.040€",660,1110,310,436,223,30,65
"155",2807902045,28079,2,45,5,"Entre 27.760€ y 31.040€",500,1185,345,244,142,7,25
"156",2807902046,28079,2,46,1,"Menos de 21.215€",890,1755,250,389,172,1,40
"157",2807902047,28079,2,47,2,"Entre 21.215€ y 23.140€",1045,1700,315,450,169,24,10
"158",2807902048,28079,2,48,5,"Entre 27.760€ y 31.040€",685,1305,390,310,147,30,30
"159",2807902049,28079,2,49,9,"Entre  46.300€ y 58.390€",675,1710,605,397,126,20,75
"160",2807902050,28079,2,50,4,"Entre 25.295€ y 27.760€",770,1935,615,390,176,24,165
"161",2807902051,28079,2,51,8,"Entre 39.755€ y 46.300€",895,1820,690,461,219,17,20
"162",2807902052,28079,2,52,8,"Entre 39.755€ y 46.300€",610,1455,555,400,65,4,25
"163",2807902053,28079,2,53,8,"Entre 39.755€ y 46.300€",1145,2410,920,347,267,16,30
"164",2807902054,28079,2,54,5,"Entre 27.760€ y 31.040€",715,1520,255,284,139,5,0
"165",2807902055,28079,2,55,7,"Entre 34.950€ y 39.755€",660,1335,440,261,215,5,60
"166",2807902056,28079,2,56,5,"Entre 27.760€ y 31.040€",560,1050,385,272,167,1,0
"167",2807902057,28079,2,57,5,"Entre 27.760€ y 31.040€",770,1155,255,371,197,17,20
"168",2807902058,28079,2,58,4,"Entre 25.295€ y 27.760€",865,1620,425,422,203,19,10
"169",2807902059,28079,2,59,6,"Entre 31.040€ y 34.950€",430,945,305,163,111,9,0
"170",2807902060,28079,2,60,6,"Entre 31.040€ y 34.950€",725,1085,465,263,220,38,20
"171",2807902061,28079,2,61,5,"Entre 27.760€ y 31.040€",585,1245,490,238,89,13,0
"172",2807902062,28079,2,62,4,"Entre 25.295€ y 27.760€",685,1160,325,306,108,13,0
"173",2807902063,28079,2,63,4,"Entre 25.295€ y 27.760€",885,1540,575,388,202,18,0
"174",2807902064,28079,2,64,6,"Entre 31.040€ y 34.950€",755,1195,485,372,274,14,15
"175",2807902065,28079,2,65,5,"Entre 27.760€ y 31.040€",870,1380,520,434,192,5,80
"176",2807902066,28079,2,66,8,"Entre 39.755€ y 46.300€",1160,1855,910,634,229,26,55
"177",2807902067,28079,2,67,3,"Entre 23.140€ y 25.295€",555,745,180,409,178,9,0
"178",2807902068,28079,2,68,3,"Entre 23.140€ y 25.295€",850,1310,220,349,123,7,0
"179",2807902069,28079,2,69,7,"Entre 34.950€ y 39.755€",350,600,135,184,140,10,10
"180",2807902070,28079,2,70,6,"Entre 31.040€ y 34.950€",735,1270,465,331,196,16,50
"181",2807902071,28079,2,71,7,"Entre 34.950€ y 39.755€",780,1255,535,336,195,14,55
"182",2807902072,28079,2,72,6,"Entre 31.040€ y 34.950€",870,1525,580,417,184,13,35
"183",2807902073,28079,2,73,6,"Entre 31.040€ y 34.950€",955,1675,535,470,214,27,65
"184",2807902074,28079,2,74,6,"Entre 31.040€ y 34.950€",1135,1670,605,411,249,29,10
"185",2807902075,28079,2,75,6,"Entre 31.040€ y 34.950€",910,1690,615,545,192,35,40
"186",2807902077,28079,2,77,5,"Entre 27.760€ y 31.040€",795,1400,250,293,161,18,40
"187",2807902078,28079,2,78,6,"Entre 31.040€ y 34.950€",420,555,220,210,143,6,0
"188",2807902079,28079,2,79,6,"Entre 31.040€ y 34.950€",725,1515,490,269,199,12,10
"189",2807902080,28079,2,80,8,"Entre 39.755€ y 46.300€",535,920,470,175,155,7,10
"190",2807902081,28079,2,81,5,"Entre 27.760€ y 31.040€",610,1205,295,274,173,4,10
"191",2807902082,28079,2,82,4,"Entre 25.295€ y 27.760€",875,1180,310,333,131,10,10
"192",2807902083,28079,2,83,7,"Entre 34.950€ y 39.755€",540,770,195,321,66,0,20
"193",2807902085,28079,2,85,9,"Entre  46.300€ y 58.390€",430,1055,500,190,140,4,55
"194",2807902086,28079,2,86,8,"Entre 39.755€ y 46.300€",785,1085,410,300,147,6,10
"195",2807902087,28079,2,87,10,"Más de 58.390€",945,2405,985,498,240,8,45
"196",2807902088,28079,2,88,6,"Entre 31.040€ y 34.950€",350,575,165,162,125,7,15
"197",2807902089,28079,2,89,8,"Entre 39.755€ y 46.300€",600,1170,460,235,194,9,0
"198",2807902090,28079,2,90,8,"Entre 39.755€ y 46.300€",830,1980,670,445,159,2,50
"199",2807902091,28079,2,91,8,"Entre 39.755€ y 46.300€",495,1045,395,256,157,2,40
"200",2807902092,28079,2,92,8,"Entre 39.755€ y 46.300€",870,1870,625,385,325,9,70
"201",2807902093,28079,2,93,8,"Entre 39.755€ y 46.300€",660,1645,570,277,127,6,80
"202",2807902094,28079,2,94,10,"Más de 58.390€",765,2235,1000,285,184,2,110
"203",2807902095,28079,2,95,9,"Entre  46.300€ y 58.390€",865,2120,885,487,132,6,45
"204",2807902096,28079,2,96,10,"Más de 58.390€",755,2310,1060,327,93,13,75
"205",2807902097,28079,2,97,9,"Entre  46.300€ y 58.390€",1465,3390,1570,861,124,49,30
"206",2807902098,28079,2,98,8,"Entre 39.755€ y 46.300€",660,1460,795,444,40,20,0
"207",2807902099,28079,2,99,8,"Entre 39.755€ y 46.300€",1175,2440,1070,1193,82,33,10
"208",2807902100,28079,2,100,8,"Entre 39.755€ y 46.300€",660,1580,520,415,56,8,35
"209",2807902101,28079,2,101,9,"Entre  46.300€ y 58.390€",1315,3085,1820,631,39,14,10
"210",2807902102,28079,2,102,9,"Entre  46.300€ y 58.390€",685,1700,675,374,59,17,15
"211",2807902103,28079,2,103,9,"Entre  46.300€ y 58.390€",1020,2140,1260,895,67,76,0
"212",2807902104,28079,2,104,8,"Entre 39.755€ y 46.300€",1410,3045,1555,896,83,16,50
"213",2807902105,28079,2,105,9,"Entre  46.300€ y 58.390€",1080,2240,1075,908,177,39,0
"214",2807902106,28079,2,106,9,"Entre  46.300€ y 58.390€",1010,2445,1280,756,96,7,50
"215",2807902107,28079,2,107,9,"Entre  46.300€ y 58.390€",0,0,0,241,141,3,0
"216",2807902108,28079,2,108,9,"Entre  46.300€ y 58.390€",0,0,0,198,96,7,0
"217",2807902109,28079,2,109,8,"Entre 39.755€ y 46.300€",0,0,0,336,161,12,0
"218",2807902110,28079,2,110,9,"Entre  46.300€ y 58.390€",0,0,0,597,56,15,0
"219",2807903001,28079,3,1,10,"Más de 58.390€",865,1790,825,284,143,6,5
"220",2807903002,28079,3,2,6,"Entre 31.040€ y 34.950€",570,945,300,240,136,3,10
"221",2807903003,28079,3,3,8,"Entre 39.755€ y 46.300€",460,1025,490,196,158,4,10
"222",2807903004,28079,3,4,6,"Entre 31.040€ y 34.950€",625,1130,470,262,153,20,50
"223",2807903005,28079,3,5,5,"Entre 27.760€ y 31.040€",435,1135,270,222,100,0,10
"224",2807903006,28079,3,6,8,"Entre 39.755€ y 46.300€",1030,2170,905,367,386,3,45
"225",2807903007,28079,3,7,4,"Entre 25.295€ y 27.760€",795,1150,345,253,114,11,20
"226",2807903008,28079,3,8,6,"Entre 31.040€ y 34.950€",630,1180,460,256,205,8,40
"227",2807903009,28079,3,9,8,"Entre 39.755€ y 46.300€",470,790,375,210,189,5,10
"228",2807903010,28079,3,10,8,"Entre 39.755€ y 46.300€",580,1150,375,223,179,1,30
"229",2807903011,28079,3,11,7,"Entre 34.950€ y 39.755€",460,995,335,247,182,5,25
"230",2807903012,28079,3,12,8,"Entre 39.755€ y 46.300€",590,1395,705,230,141,9,0
"231",2807903013,28079,3,13,7,"Entre 34.950€ y 39.755€",500,860,275,259,175,13,35
"232",2807903014,28079,3,14,8,"Entre 39.755€ y 46.300€",685,1440,550,329,165,15,0
"233",2807903015,28079,3,15,6,"Entre 31.040€ y 34.950€",490,1015,285,237,167,15,10
"234",2807903016,28079,3,16,4,"Entre 25.295€ y 27.760€",335,595,150,197,106,0,0
"235",2807903017,28079,3,17,7,"Entre 34.950€ y 39.755€",685,1590,545,242,224,4,25
"236",2807903018,28079,3,18,6,"Entre 31.040€ y 34.950€",870,1605,715,418,373,13,50
"237",2807903019,28079,3,19,9,"Entre  46.300€ y 58.390€",880,2145,955,390,367,3,15
"238",2807903020,28079,3,20,6,"Entre 31.040€ y 34.950€",610,1210,325,295,245,0,0
"239",2807903021,28079,3,21,6,"Entre 31.040€ y 34.950€",905,1895,680,407,233,11,55
"240",2807903022,28079,3,22,4,"Entre 25.295€ y 27.760€",615,1060,190,260,160,12,15
"241",2807903023,28079,3,23,7,"Entre 34.950€ y 39.755€",460,860,315,207,135,7,40
"242",2807903024,28079,3,24,7,"Entre 34.950€ y 39.755€",610,1235,465,282,207,11,0
"243",2807903025,28079,3,25,7,"Entre 34.950€ y 39.755€",1455,2580,1145,665,230,11,0
"244",2807903026,28079,3,26,7,"Entre 34.950€ y 39.755€",975,1905,545,440,267,16,15
"245",2807903027,28079,3,27,6,"Entre 31.040€ y 34.950€",560,1190,390,326,180,5,15
"246",2807903028,28079,3,28,8,"Entre 39.755€ y 46.300€",800,1660,760,375,158,20,30
"247",2807903029,28079,3,29,10,"Más de 58.390€",680,1615,650,332,148,2,15
"248",2807903030,28079,3,30,10,"Más de 58.390€",305,795,325,124,162,1,0
"249",2807903031,28079,3,31,8,"Entre 39.755€ y 46.300€",570,1105,410,223,210,10,0
"250",2807903032,28079,3,32,8,"Entre 39.755€ y 46.300€",520,960,420,238,219,3,25
"251",2807903033,28079,3,33,8,"Entre 39.755€ y 46.300€",675,1700,545,318,261,10,5
"252",2807903034,28079,3,34,9,"Entre  46.300€ y 58.390€",570,1375,690,272,215,1,40
"253",2807903035,28079,3,35,9,"Entre  46.300€ y 58.390€",485,730,385,241,214,6,10
"254",2807903036,28079,3,36,10,"Más de 58.390€",370,760,455,199,181,4,45
"255",2807903037,28079,3,37,10,"Más de 58.390€",475,1285,565,263,205,5,10
"256",2807903038,28079,3,38,10,"Más de 58.390€",375,1025,455,240,198,3,15
"257",2807903039,28079,3,39,10,"Más de 58.390€",270,790,410,167,152,0,0
